Title,Authors,Venues,Years,Types,Months,Tracks,Editors&Pages,Publishers,Awards,VenueNames,PDFNames,Sub-topics,Topics,Presentation
Studying the Association between Bountysource Bounties and the Issue-addressing Likelihood of GitHub Issue Reports,"Jiayuan Zhou, Shaowei Wang, Cor-Paul Bezemer, Ying Zou, Ahmed E. Hassan",TSE,2020,Journal Papers,2,,,,,,TSE-2020-Zhou,"Bounty systems, Issue Reports",Software Analytics,https://youtu.be/IBUuAPQIoC4
Studying the Impact of Noises in Build Breakage Data,"Taher Ahmed Ghaleb, Daniel Alencar da Costa, Ying Zou, Ahmed E. Hassan",TSE,2019,Journal Papers,8,,,,,,TSE-Ghaleb-2019,Continuous Integration,Build Systems,https://youtu.be/1X56k5fitGg
An Empirical Study of Obsolete Answers on Stack Overflow,"Haoxiang Zhang, Shaowei Wang, Tse-Hsun Peter Chen, Ying Zou",TSE,2019,Journal Papers,3,,,,,,TSE-Haoxiang-2019,"Stack Overflow, Empirical Study",Software Analytics,
An Empirical Study on the Team Structures in Social Coding using GitHub Projects,"Mariam EI Mezouar, Feng Zhang, Ying Zou",EMSE,2019,Journal Papers,3,,,,,,EMSE-Mariam-2019,"Pull Request, Social Coding",Software Analytics,
Improving the Pull Requests Review Process Using Learning-to-rank Algorithms,"Guoliang Zhao, Daniel Alencar da Costa, Ying Zou",EMSE,2019,Journal Papers,2,,,,,,EMSE-Guoliang-2019,"Pull Request, Code Review",Software Analytics,https://youtu.be/KuyWEu8VL8w
An Empirical Study of the Long Duration of Continuous Integration Builds,"Taher Ahmed Ghaleb, Daniel Alencar da Costa, Ying Zou",EMSE,2019,Journal Papers,2,,,,,,EMSE-Taher-2019,"Continuous Integration, Build Systems",Build Systems,https://youtu.be/gmnF-k0CUrs
Too Many User-Reviews What Should App Developers Look at First,"Ehsan Noei, Feng Zhang, Ying Zou",TSE,2019,Journal Papers,1,,,,,,TSE-Ehsan-2019,Mobile Applications,Mobile Applications,
An Empirical Study of Game Reviews on the Steam Platform,"Dayi Lin, Cor-Paul Bezemer, Ying Zou, Ahmed E. Hassan",EMSE,2019,Journal Papers,,,"24(2), pp. 718-750",,,,EMSE-Dayi-2019,Games,Software Analytics,
An Empirical Study on the Issue Reports with Questions Raised during the Issue Resolving Process,"Yonghui Huang, Daniel Alencar da Costa, Feng Zhang, Ying Zou",EMSE,2019,Journal Papers,,,"24(2), pp. 718-750",,,,EMSE-Huang-2019,"Issue Reports, Issue Resolving Process",Defect Prediction,
Towards Prioritizing User-related Issue Reports of Mobile Applications,"Ehsan Noei, Feng Zhang, Ying Zou",EMSE,2018,Journal Papers,,,,,,,EMSE-2018-noei,"Issue Reports, Mobile Applications","Defect Prediction, Mobile Applications",
Expanding Queries for Code Search Using Semantically Related API Class-name,"Feng Zhang, Haoran Niu, Iman Keivanloo, Ying Zou",TSE,2018,Journal Papers,,,"44(11), pp. 1070-1082",,,,TSE-Feng-2018,"Code Search, Query Expansion",Code Search,
An Investigation of the Fault-proneness of Clone Evolutionary Patterns,"Liliane Barbour, Li An, Foutse Khomh, Ying Zou, Shaohua Wang",Others,2018,Journal Papers,,,"26(4), pp. 1187-1222",Springer,,Software Quality Journal,SQJ-Liliane-2017,"Code Clones, Clone Evolution",Code Clones,
Context-aware Service Input Ranking by Learning from Historical Information,"Shaohua Wang, Ying Zou, Joanna Ng, Tinny Ng",TSC,2018,Journal Papers,,,,,,,TSC-Shaohua-2018,"Service Composition, Autofilling",Web Services and Web Applications,
Composing Web Services Using a Multi-Agent Framework,"Yu Zhao, Daniel Alencar da Costa, Ying Zou",TSC,2020,Journal Papers,10,,,,,,TSC-2020-Zhao,"Web Services, Service Composition",Web Services and Web Applications,
Are Tweets useful in the Bug Fixing Process? An Empirical Study Firefox and Chrome,"Mariam EI Mezouar, Feng Zhang, Ying Zou",EMSE,2018,Journal Papers,,,"23(3), pp. 1704-1742",,,,EMSE-Mariam-2018,"Social Media, Bug Fix","Software Analytics, Defect Prediction",
Towards Just-In-time Suggestions for Log Changes,"Heng Li, Weiyi Shang, Ahmed E. Hassan, Ying Zou",EMSE,2017,Journal Papers,,,"22(4), pp. 1831-1865",,,,EMSE-Heng-2017,Log Analysis,Log Analytics,
Data Transformation in Cross-project Defect Prediction,"Feng Zhang, Iman Keivanloo, Ying Zou",EMSE,2017,Journal Papers,,,"22(6), pp. 3186-3218",,,,EMSE-Feng-2017-2,Defect Prediction,Defect Prediction,
An Intelligent Framework for Auto-filling Web Forms from Different Web Applications,"Shaohua Wang, Ying Zou, Iman Keivanloo, Bipin Upadhyaya, Joanna Ng",IJBPIM,2017,Journal Papers,,,"8(1), pp. 16-30",Inderscience,,,IJBPIM-Shaohua-2017,"Web Services, Autofilling",Web Services and Web Applications,
A Study of the Relation of Mobile Device Attributes with the User-Perceived Quality of Android Apps,"Ehsan Noei, Mark D. Syer, Ying Zou, Ahmed E. Hassan, Iman Keivanloo",EMSE,2017,Journal Papers,,,"22(6), pp. 3088-3116",,,,EMSE-Ehsan-2017,"Mobile Applications, User Perceived Quality","Mobile Applications, Software Quality",
The Use of Summation to Aggregate Software Metrics Hinders the Performance of Defect Prediction Models,"Feng Zhang, Ahmed E. Hassan, Shane McIntosh, Ying Zou",TSE,2017,Journal Papers,,,"43(5), pp. 476-491",,,,TSE-Feng-2017,Defect Prediction,Defect Prediction,
API Usage Pattern Recommendation for Software Development,"Haoran Niu, Iman Keivanloo, Ying Zou",JSS,2017,Journal Papers,,,"129, pp. 127-139",,,,JSS-Haoran-2017,"API Usage Pattern, Code Recommendation",Code Search,
An Exploratory Study on Reused User Interface Elements of Android Applications,"Seyyed Ehsan Salamati Taba, Iman Keivanloo, Ying Zou, Shaohua Wang",JSS,2017,Journal Papers,,,"131, pp. 491-504",,,,JSS-Taba-2017,"Mobile Applications, User Interface",Mobile Applications,
Learning to Rank Code Examples for Code Search Engines,"Haoran Niu, Iman Keivanloo, Ying Zou",EMSE,2017,Journal Papers,,,"22(1), pp. 259-291",,,,EMSE-Haoran-2017,Code Search,Code Search,
Towards Building a Universal Defect Prediction Model with Rank Transformed Predictors,"Feng Zhang, Audris Mockus, Iman Keivanloo, Ying Zou",EMSE,2016,Journal Papers,,,"21(5), pp. 2107-2145",,,,EMSE-Feng-2016,Defect Prediction,Defect Prediction,
Improving Bug Management using Correlations in Crash Reports,"Shaohua Wang, Foutse Khomh, Ying Zou",EMSE,2016,Journal Papers,,,"21(2), pp. 337-367",Springer,,,EMSE-Shaohua-2016,"Bug Management, Crash Reports",Defect Prediction,
Quality of Experience: User’s Perception about Web Services,"Bipin Upadhyaya, Ying Zou, Iman Keivanloo, Joanna Ng",TSC,2015,Journal Papers,,,"8(3), pp. 410-421",,,,TSC-Bipin-2015,"Web Services, User Perceived Quality","Web Services and Web Applications, Software Quality",
Detecting Android Malware Using Clone Detection,"Jian Chen, Manar H. Alalfi, Thomas R. Dean, Ying Zou",Others,2015,Journal Papers,,,"30(5), pp. 942-956",,,Journal of Computing Science Technology,JCST-Jian-2015,"Malware Detection, Code Clones, Clone Detection",Code Clones,
Automatic Reuse of User Inputs to Services among End-users in Service Composition,"Shaohua Wang, Ying Zou, Iman Keivanloo, Bipin Upadhyaya, Joanna Ng, Tinny Ng",TSC,2015,Journal Papers,,,"8(3), pp. 343-355",,,,TSC-Shaohua-2015,Service Composition,Web Services and Web Applications,
Understanding the Impact of Rapid Releases on Software Quality,"Foutse Khomh, Bram Adams, Tejinder Dhaliwal, Ying Zou",EMSE,2015,Journal Papers,,,"20(2), pp. 336-373",Springer,,,EMSE-Foutse-2015,"Rapid Releases, Software Quality","Software Analytics, Software Quality",
Extracting RESTful Services from Web Applications,"Bipin Upadhyaya, Ying Zou, Foutse Khomh",IJBPIM,2015,Journal Papers,,,"7(3), pp. 213-227",Inderscience,,,IJBPIM-Bipin-2015,"Web Services, Service Migration",Web Services and Web Applications,
An Empirical Study of the Effect of File Editing Patterns on Software Quality,"Feng Zhang, Foutse Khomh, Ying Zou, Ahmed E. Hassan",JSEP,2014,Journal Papers,,,"26(11), pp. 996-1029",Wiley,,,JSEP-Feng-2014,Software Quality,Software Quality,
An Empirical Study of Faults in Late Propagation Clone Genealogies,"Liliane Barbour, Foutse Khomh, Ying Zou",JSEP,2013,Journal Papers,11,,"25(11), pp. 1139-1165",,,,JSEP-Liliane-2013,"Code Clones, Clone Evolution",Code Clones,
An Approach for Mining Service Composition Patterns from Execution Logs,"Bipin Upadhyaya, Ran Tang, Ying Zou",JSEP,2013,Journal Papers,8,,"25(8), pp. 841-870",,,,JSEP-Bipin-2013,Service Composition,Web Services and Web Applications,
An Empirical Study on Inconsistent Changes to Code Clones at Release Level,"Nicolas Bettenburg, Weiyi Shang, Walid M. Ibrahim, Bram Adams, Ying Zou, Ahmed E. Hassan",SCP,2012,Journal Papers,6,,"77(6), pp. 760-776",Elsevier,,,SCP-Nicolas-2012,"Code Clones, Clone Evolution",Code Clones,
A Business Process Driven Approach for Generating Software Architecture,"Xulin Zhao, Ying Zou",SPE,2011,Journal Papers,9,,"41(10), pp. 1049-1071",Wiley,,,SPE-Xulin-2011,Business Process Driven Development,Business Process Driven Development,
Ontology-driven Service Composition for End-users,"Hua Xiao, Ying Zou, Ran Tang, Joanna Ng, Leho Nigul",SOCA,2011,Journal Papers,3,,"5(3), pp. 159-181",Springer London,,,SOCA-Hua-2011,Service Composition,Web Services and Web Applications,
Guest Editors' Introduction to the Special Section from the International Symposium on Web Systems Evolution,"Ying Zou, Ji Wu, Kenny Wong",STTT,2011,Journal Papers,4,,"13(2), pp. 107-109",,,,STTT-Ying-2011,Others,Others,
An Approach for Estimating the Time Needed to Perform Code Changes in Business Applications,"Brian Chan, King Chun Foo, Lionel Marks, Ying Zou",STTT,2009,Journal Papers,12,,"11(6), pp. 503-515",Springer Berlin Heidelberg,,,STTT-Brian-2009,"Effort Estimation, Business Process Driven Development","Software Evolution, Business Process Driven Development",
Recovering Business Processes from Business Applications,"Ying Zou, Jin Guo, King Chun Foo, Maokeng Hung",JSME,2009,Journal Papers,9,,"21(5), pp. 315-348",Wiley,,,JSME-Ying-2009,Business Process Recovery,Business Process Recovery,
Adapting the User Interface of Integrated Development Environments (IDEs) for Novice Users,"Ying Zou, Michael Lerner, Alex Leung, Scott Morisson, Matt Wringe",JOT,2008,Journal Papers,9,,"7(7), pp. 55-74",Bertrand Meyer,,,http://www.jot.fm/issues/issue_2008_09/article1/index.html,Software Analytics,Software Analytics,
Improving the Usability of e-Commerce Applications using Business Processes,"Ying Zou, Qi Zhang, Xulin Zhao",TSE,2007,Journal Papers,12,,"33(12), pp. 837-855",IEEE Computer Society,,,TSE-Ying-2007,Business Process Driven Development,Business Process Driven Development,
"Service-Oriented Computing – ICSOC 2018 Workshops – ADMS, ASOCA, ISYyCC, CloTS, DDBS, and NLS4IoT, Hangzhou, China, November 12-15, 2018, Revised Selected Papers","Xiao Liu, Michael Mrissa, Liang Zhang, Djamal Benslimane, Aditya Ghose, Zhongjie Wang, Antonio Bucchiarone, Wei Zhang, Ying Zou, Qi Yu",Others,2019,Books or Book Chapters,,,,Springer,,Lecture Notes in Computer Science 11434,https://www.springer.com/gp/book/9783030176419,Others,Others,
,"Matthew Stephan, Ying Zou",IWSC,2018,Books or Book Chapters,,,,IEEE Computer Society,,,https://iwsc2018.github.io,Others,Others,
An Approach for Service Discovery and Recommendation Using Contexts,"Hua Xiao, Ying Zou",Others,2014,Books or Book Chapters,,,"Athman Bouguettaya, Quan Z. Sheng, Florian Daniel (Eds), pp. 609-633",Springer New York,,Web Services Foundations,WSF-Hua-2014,"Service Discovery, Service Recommendation",Web Services and Web Applications,
A Framework for Composing Personalized Web Resources,"Bipin Upadhyaya, Hua Xiao, Ying Zou, Joanna Ng, Alex Lau",Others,2013,Books or Book Chapters,,LNCS 7855,"Mark Chignell, James R. Cordy, Ryan Kealey, Joanna Ng, Yelena Yesha (Eds), pp. 65-86",Springer Berlin Heidelberg,,The Personal Web,PW-Bipin-2013,Service Composition,Web Services and Web Applications,
,"Hans-Arno Jacobsen, Ying Zou, Jian Chen",CASCON(Prev.),2012,Books or Book Chapters,11,,269 pp.,,,,https://dblp.org/db/conf/cascon/cascon2012.html,Others,Others,
,"Ying Zou, Kenny Wong, Ji Wu",Others,2011,Books or Book Chapters,4,,"13(2), 94 pp.",Springer-Verlag,,"International Journal on Software Tools for Technology Transfer (STTT), Special Issue on International Symposium on Web Systems Evolution (WSE)",https://dl.acm.org/citation.cfm?id=1966543,Others,Others,
,"Ying Zou, Ji Wu, Kenny Wong",Others,2011,Books or Book Chapters,4,,"13(2), 200 pp.",Springer-Verlag,,"International Journal on Software Tools for Technology Transfer (STTT), Special Section on International Symposium on Web Systems Evolution (WSE)",https://dl.acm.org/citation.cfm?id=1966543,Others,Others,
A Framework for Automatically Supporting End-Users in Service Composition,"Hua Xiao, Ying Zou, Ran Tang, Joanna Ng, Leho Nigul",Others,2010,Books or Book Chapters,,LNCS 6400,"Mark Chignell, James R. Cordy, Joanna Ng, Yelena Yesha (Eds), pp. 115-136",Springer Berlin Heidelberg,,The Smart Internet,SI-Huaxiao-2010,Service Composition,Web Services and Web Applications,
,"Kenny Wong, Ying Zou, Ji Wu",WSE,2009,Books or Book Chapters,9,,154 pp.,,,,https://www.computer.org/csdl/proceedings/2009/wse/12OmNxQOjzS,Others,Others,
,"Kostas Kontogiannis, Ying Zou, Massimiliano Di Penta",STEP,2005,Books or Book Chapters,9,,240 pp.,,,,https://ieeexplore.ieee.org/document/1691619,Others,Others,
,"Ying Zou, Massimiliano Di Penta",Others,2005,Books or Book Chapters,9,,269 pp.,Queen’s University Press,,Pre-Proceedings of the the International Workshops on Software Technology and Engineering Practices (STEP),preproc-step-2005,Others,Others,
,"Ying Zou, James Cordy",SET,2004,Books or Book Chapters,11,,59 pp.,Queen’s University Press,,,set-2004,Others,Others,
Re-engineering Legacy Systems to Web Environments,"Ying Zou, Kostas Kontogiannis",Others,2004,Books or Book Chapters,7,,"Khaled M. Khan and Yan Zhang (Eds), pp. 138-166",Idea Group Publishing,,Managing Corporate Information Systems Evolution and Maintenance,MCISEM-Ying-2004,Software Re-engineering,Software Evolution,
Migrating and Specifying Services for Web Integration,"Ying Zou, Kostas Kontogiannis",Others,2001,Books or Book Chapters,6,LNCS 1999,"Wolfgang Emmerich, Stefan Tai (Eds), pp. 244-260",Springer Berlin Heidelberg,,Engineering Distributed Objects,EDO-Ying-2001,Software Migration,Software Evolution,
Predicting Co-Changes between Functionality Specifications and Source Code in Behavior Driven Development,"Aidan Yang, Daniel Alencar da Costa, Ying Zou",MSR,2019,Refereed Conference and Workshop Publications,,,pp. 534-544,,,,MSR-Aidan-2019,"Co-change Prediction, Mining Software Repositories (MSR)","Defect Prediction, Software Analytics",
Towards just-in-time suggestions for log changes,"Heng Li, Weiyi Shang, Ying Zou, Ahmed E. Hassan",SANER,2018,Refereed Conference and Workshop Publications,,,pp. 467,(journal-first abstract),,,SANER-Heng-2018,Log Analysis,Log Analytics,
A study of the relation of mobile device attributes with the user-perceived quality of Android apps,"Ehsan Noei, Mark D. Syer, Ying Zou, Ahmed E. Hassan, Iman Keivanloo",SANER,2018,Refereed Conference and Workshop Publications,,,pp. 469,(journal-first abstract),,,SANER-Ehsan-2018,"Mobile Applications, User Perceived Quality","Mobile Applications, Software Quality",
Winning the App Production Rally,"Ehsan Noei, Daniel Alencar da Costa, Ying Zou",ESEC/FSE,2018,Refereed Conference and Workshop Publications,,,pp. 283-294,,,,FSE-Ehsan-2018,Mobile Applications,Mobile Applications,
A Personalized Assistant Framework for Service Recommendation,"Pradeep K. Venkatesh, Shaohua Wang, Ying Zou, Joanna Ng",SCC,2017,Refereed Conference and Workshop Publications,,,pp. 92-99,,,,SCC-Pradeep-2017,Service Recommendation,Web Services and Web Applications,
A Framework to Extract Personalized Behavioral Patterns of User's IoT Devices Data,"Pradeep K. Venkatesh, Daniel Alencar da Costa, Ying Zou, Joanna Ng",CASCON,2017,Refereed Conference and Workshop Publications,,,pp. 19-27,,,,CASCON-Pradeep-2017,"IoT, Data Analytics",Software Analytics,
An Automatic Approach for Transforming IoT Applications to RESTful Services on the Cloud,"Yu Zhao, Ying Zou, Joanna Ng, Daniel Alencar da Costa",ICSOC,2017,Refereed Conference and Workshop Publications,,,pp. 673-689,,,,ICSOC-Yu-2017,"IoT, Service Migration",Web Services and Web Applications,
Automatically Learning User Preferences for Personalized Service Composition,"Yu Zhao, Shaohua Wang, Ying Zou, Joanna Ng, Tinny Ng",ICWS,2017,Refereed Conference and Workshop Publications,,,pp. 776-783,,,,ICWS-Yu-2017,Service Composition,Web Services and Web Applications,
Local versus Global Models for Effort-aware Defect Prediction,"Mariam EI Mezouar, Feng Zhang, Ying Zou",CASCON,2016,Refereed Conference and Workshop Publications,,,pp. 178-187,,,,CASCON-Mariam-2016,Defect Prediction,Defect Prediction,
How Are Discussions Associated with Bug Reworking? An Empirical Study on Open Source Projects,"Yu Zhao, Feng Zhang, Emad Shihab, Ying Zou, Ahmed E. Hassan",ESEM,2016,Refereed Conference and Workshop Publications,,,pp. 21:1-21:10,,,,ESEM-Yu-2016,"Bug Management, Mining Software Repositories (MSR)","Defect Prediction, Software Analytics",
What Concerns Do Client Developers Have When Using Web APIs? An Empirical Study of Developer Forums and Stack Overflow,"Pradeep K. Venkatesh, Shaohua Wang, Feng Zhang, Ying Zou, Ahmed E. Hassan",ICWS,2016,Refereed Conference and Workshop Publications,,,pp. 131-138,,,,ICWS-Pradeep-2016,"Stack Overflow, Web API","Software Analytics, Web Services and Web Applications",
Mining User Intents to Compose Services for End-Users,"Yu Zhao, Shaohua Wang, Ying Zou, Joanna Ng, Tinny Ng",ICWS,2016,Refereed Conference and Workshop Publications,,Application Track,pp. 348-355,,,,ICWS-Yu-2016,Service Composition,Web Services and Web Applications,
Defect Prediction Without Training Data Via Spectral Clustering,"Feng Zhang, Quan Zheng, Ying Zou, Ahmed E. Hassan",ICSE,2016,Refereed Conference and Workshop Publications,,,pp. 309-320,,,,ICSE-Feng-2016,Defect Prediction,Defect Prediction,
An Industrial Case Study on the Automated Detection of Performance Regressions in Heterogeneous Environments,"King Chun Foo, Zhen Ming Jiang, Bram Adams, Ahmed E. Hassan, Ying Zou, Parminder Flora",ICSE,2015,Refereed Conference and Workshop Publications,5,Software Engineering in Practice Track,pp. 159-168,,IEEE Software Best Paper Award,,ICSE-King-2015,Performance Regression,Others,
Learning to Reuse User Inputs in Service Composition,"Shaohua Wang, Ying Zou, Joanna Ng, Tinny Ng",ICWS,2015,Refereed Conference and Workshop Publications,6,Application Track,pp. 695-702,,Invited for Submitted the Extended Version to IEEE Transactions on Service Computing,,ICWS-Shaohua-2015,Service Composition,Web Services and Web Applications,
Automatic Filling Values to Services: A Road Map,"Shaohua Wang, Ying Zou, Joanna Ng, Tinny Ng",Services,2015,Refereed Conference and Workshop Publications,6,Web Tasking Track,pp. 275-277,,,,Services-Shaohua-2015,Service Composition,Web Services and Web Applications,
Threshold-free Code Clone Detection for a Large-scale Heterogeneous Java Repository,"Iman Keivanloo, Feng Zhang, Ying Zou",SANER,2015,Refereed Conference and Workshop Publications,3,,pp. 201-210,,,,SANER-Iman-2015,"Code Clones, Clone Detection",Code Clones,
An Empirical Study on the Fault-Proneness of Clone Migration in Clone Genealogies,"Shuai Xie, Foutse Khomh, Ying Zou, Iman Keivanloo",SANER(Prev.),2014,Refereed Conference and Workshop Publications,2,LNCS 8831,pp. 94-103,,,,CSMR-Shuai-2014,"Code Clones, Clone Evolution",Code Clones,
Spotting Working Code Examples,"Iman Keivanloo, Juergen Rilling, Ying Zou",ICSE,2014,Refereed Conference and Workshop Publications,5,,,,,,ICSE-Iman-2014,Code Search,Code Search,
How Do Developers React to RESTful API Evolution?,"Shaohua Wang, Iman Keivanloo, Ying Zou",ICSOC,2014,Refereed Conference and Workshop Publications,11,,pp. 245-259,Springer Berlin Heidelberg,,,ICSOC-Shaohua-2014,Web API,Web Services and Web Applications,
An Empirical Study on Categorizing User Input Parameters for User Inputs Reuse,"Shaohua Wang, Ying Zou, Bipin Upadhyaya, Iman Keivanloo, Joanna Ng",ICWE,2014,Refereed Conference and Workshop Publications,7,LNCS 8541,pp. 21-39,Springer International Publishing,,,ICWE-Shaohua-2014,Autofilling,Others,
An Exploratory Study on the Relation between User Interface Complexity and the Perceived Quality,"Seyyed Ehsan Salamati Taba, Iman Keivanloo, Ying Zou, Joanna Ng, Tinny Ng",ICWE,2014,Refereed Conference and Workshop Publications,7,LNCS 8541,pp. 370-379,Springer International Publishing,,,ICWE-Seyyed-2014,"User Interface, Mobile Applications",Mobile Applications,
Quality of Experience: What End-Users Say about Web Services,"Bipin Upadhyaya, Ying Zou, Iman Keivanloo, Joanna Ng",ICWS,2014,Refereed Conference and Workshop Publications,6,,pp. 57-64,,Best Paper Award Nomination. IEEE Transactions on Services Computing journal special issue invitation,,ICWS-Bipin-2014,"User Perceived Quality, Web Services","Software Quality, Web Services and Web Applications",
Automatic Propagation of User Inputs in Service Composition for End-Users,"Shaohua Wang, Bipin Upadhyaya, Ying Zou, Iman Keivanloo, Joanna Ng",ICWS,2014,Refereed Conference and Workshop Publications,6,,pp. 73-80,,Best Student Paper Award Nomination. IEEE Transactions on Services Computing journal special issue invitation,,ICWS-Shaohua-2014,"Autofilling, Service Composition",Web Services and Web Applications,
